ImageName,ImageDimension,KernelName,KernelDimension,NumReps,TotalTime_s,TimePerRep_s
4K-1,4000x2000,boxBlur,7,3,11.4838,3.82795
4K-1,4000x2000,edgeDetection,7,3,11.7144,3.90481
4K-1,4000x2000,boxBlur,13,3,36.4774,12.1591
4K-1,4000x2000,edgeDetection,13,3,36.0021,12.0007
4K-1,4000x2000,boxBlur,19,3,73.0764,24.3588
4K-1,4000x2000,edgeDetection,19,3,72.9627,24.3209
4K-1,4000x2000,boxBlur,25,3,126.507,42.1691
4K-1,4000x2000,edgeDetection,25,3,125.689,41.8965
4K-2,4000x2000,boxBlur,7,3,10.9416,3.64721
4K-2,4000x2000,edgeDetection,7,3,11.2143,3.73811
4K-2,4000x2000,boxBlur,13,3,35.1054,11.7018
4K-2,4000x2000,edgeDetection,13,3,35.2002,11.7334
4K-2,4000x2000,boxBlur,19,3,73.9941,24.6647
4K-2,4000x2000,edgeDetection,19,3,73.8538,24.6179
4K-2,4000x2000,boxBlur,25,3,127.05,42.3499
4K-2,4000x2000,edgeDetection,25,3,126.754,42.2515
4K-3,4000x2000,boxBlur,7,3,11.0287,3.67625
4K-3,4000x2000,edgeDetection,7,3,11.1584,3.71947
4K-3,4000x2000,boxBlur,13,3,35.4611,11.8204
4K-3,4000x2000,edgeDetection,13,3,35.9289,11.9763
4K-3,4000x2000,boxBlur,19,3,108.198,36.0659
4K-3,4000x2000,edgeDetection,19,3,162.033,54.0111
4K-3,4000x2000,boxBlur,25,3,278.312,92.7708
4K-3,4000x2000,edgeDetection,25,3,278.281,92.7604
5K-1,5000x3000,boxBlur,7,3,42.9667,14.3222
5K-1,5000x3000,edgeDetection,7,3,42.634,14.2113
5K-1,5000x3000,boxBlur,13,3,149.139,49.7128
5K-1,5000x3000,edgeDetection,13,3,141.127,47.0423
5K-1,5000x3000,boxBlur,19,3,306.293,102.098
5K-1,5000x3000,edgeDetection,19,3,316.289,105.43
5K-1,5000x3000,boxBlur,25,3,374.338,124.779
5K-1,5000x3000,edgeDetection,25,3,232.064,77.3546
5K-2,5000x3000,boxBlur,7,3,20.6649,6.8883
5K-2,5000x3000,edgeDetection,7,3,21.501,7.16701
5K-2,5000x3000,boxBlur,13,3,144.803,48.2678
5K-2,5000x3000,edgeDetection,13,3,148.851,49.6171
5K-2,5000x3000,boxBlur,19,3,310.157,103.386
5K-2,5000x3000,edgeDetection,19,3,308.931,102.977
5K-2,5000x3000,boxBlur,25,3,466.075,155.358
5K-2,5000x3000,edgeDetection,25,3,541.616,180.539
5K-3,5000x3000,boxBlur,7,3,50.6442,16.8814
5K-3,5000x3000,edgeDetection,7,3,46.4642,15.4881
5K-3,5000x3000,boxBlur,13,3,169.36,56.4534
5K-3,5000x3000,edgeDetection,13,3,156.329,52.1098
5K-3,5000x3000,boxBlur,19,3,325.468,108.489
5K-3,5000x3000,edgeDetection,19,3,340.971,113.657
5K-3,5000x3000,boxBlur,25,3,570.079,190.026
5K-3,5000x3000,edgeDetection,25,3,355.194,118.398
6K-1,6000x4000,boxBlur,7,3,33.0526,11.0175
6K-1,6000x4000,edgeDetection,7,3,33.9858,11.3286
6K-1,6000x4000,boxBlur,13,3,108.381,36.1269
6K-1,6000x4000,edgeDetection,13,3,107.958,35.9861
6K-1,6000x4000,boxBlur,19,3,225.183,75.0609
6K-1,6000x4000,edgeDetection,19,3,222.946,74.3153
6K-1,6000x4000,boxBlur,25,3,578.653,192.884
6K-1,6000x4000,edgeDetection,25,3,877.58,292.527
6K-2,6000x4000,boxBlur,7,3,49.7601,16.5867
6K-2,6000x4000,edgeDetection,7,3,44.9468,14.9823
6K-2,6000x4000,boxBlur,13,3,236.651,78.8835
6K-2,6000x4000,edgeDetection,13,3,233.614,77.8714
6K-2,6000x4000,boxBlur,19,3,499.456,166.485
6K-2,6000x4000,edgeDetection,19,3,455.309,151.77
6K-2,6000x4000,boxBlur,25,3,868.319,289.44
6K-2,6000x4000,edgeDetection,25,3,856.216,285.405
6K-3,6000x4000,boxBlur,7,3,69.6567,23.2189
6K-3,6000x4000,edgeDetection,7,3,67.4756,22.4919
6K-3,6000x4000,boxBlur,13,3,183.611,61.2037
6K-3,6000x4000,edgeDetection,13,3,103.01,34.3366
6K-3,6000x4000,boxBlur,19,3,216.996,72.3321
6K-3,6000x4000,edgeDetection,19,3,217.794,72.5981
6K-3,6000x4000,boxBlur,25,3,377.615,125.872
6K-3,6000x4000,edgeDetection,25,3,373.664,124.555
7K-1,7000x5000,boxBlur,7,3,48.0791,16.0264
7K-1,7000x5000,edgeDetection,7,3,49.0542,16.3514
7K-1,7000x5000,boxBlur,13,3,154.744,51.5812
7K-1,7000x5000,edgeDetection,13,3,155.017,51.6724
7K-1,7000x5000,boxBlur,19,3,320.88,106.96
7K-1,7000x5000,edgeDetection,19,3,320.241,106.747
7K-1,7000x5000,boxBlur,25,3,550.347,183.449
7K-1,7000x5000,edgeDetection,25,3,543.275,181.092
7K-2,7000x5000,boxBlur,7,3,49.5162,16.5054
7K-2,7000x5000,edgeDetection,7,3,49.6412,16.5471
7K-2,7000x5000,boxBlur,13,3,155.443,51.8145
7K-2,7000x5000,edgeDetection,13,3,154.868,51.6228
7K-2,7000x5000,boxBlur,19,3,322.383,107.461
7K-2,7000x5000,edgeDetection,19,3,320.319,106.773
7K-2,7000x5000,boxBlur,25,3,551.697,183.899
7K-2,7000x5000,edgeDetection,25,3,546.19,182.063
7K-3,7000x5000,boxBlur,7,3,49.2208,16.4069
7K-3,7000x5000,edgeDetection,7,3,49.9849,16.6616
7K-3,7000x5000,boxBlur,13,3,154.569,51.5229
7K-3,7000x5000,edgeDetection,13,3,155.201,51.7338
7K-3,7000x5000,boxBlur,19,3,321.691,107.23
7K-3,7000x5000,edgeDetection,19,3,319.177,106.392
7K-3,7000x5000,boxBlur,25,3,551.341,183.78
7K-3,7000x5000,edgeDetection,25,3,544.939,181.646
